*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 10, 2021 14:49:00

*RUN   1        : 20 IRRIG, light rate,freq MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq MZCER047
  
! TAV  =    20.9
! TAMP =    13.4
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    
 2020 216    87    26.8    26.7    26.6    26.4    26.2    26.0    25.8    25.0    23.8
 2020 217    88    27.1    27.0    26.9    26.7    26.4    26.2    26.0    25.3    24.0
 2020 218    89    27.1    27.0    26.9    26.7    26.4    26.2    26.0    25.3    24.1
 2020 219    90    26.5    26.5    26.4    26.2    26.0    25.8    25.6    24.9    23.8
 2020 220    91    27.4    27.3    27.2    27.0    26.7    26.5    26.3    25.6    24.3
 2020 221    92    29.1    29.0    28.9    28.6    28.2    28.0    27.7    26.8    25.2
 2020 222    93    30.5    30.5    30.3    29.9    29.5    29.2    28.9    27.8    26.0
 2020 223    94    31.3    31.2    31.0    30.6    30.2    29.8    29.5    28.3    26.5
 2020 224    95    32.1    32.0    31.7    31.3    30.9    30.5    30.1    28.9    26.9
 2020 225    96    31.8    31.7    31.5    31.1    30.7    30.3    30.0    28.7    26.8
 2020 226    97    31.4    31.4    31.1    30.8    30.3    30.0    29.7    28.5    26.6
 2020 227    98    30.8    30.7    30.5    30.2    29.8    29.5    29.2    28.1    26.4
 2020 228    99    30.5    30.4    30.2    29.9    29.5    29.2    28.9    27.9    26.2
 2020 229   100    30.3    30.3    30.1    29.8    29.4    29.1    28.9    27.8    26.2
 2020 230   101    30.7    30.6    30.4    30.1    29.7    29.4    29.1    28.1    26.4
 2020 231   102    30.7    30.6    30.4    30.1    29.8    29.4    29.2    28.1    26.4
 2020 232   103    30.5    30.4    30.2    29.9    29.6    29.3    29.0    28.0    26.4
 2020 233   104    30.5    30.5    30.3    30.0    29.6    29.3    29.1    28.1    26.4
 2020 234   105    30.4    30.4    30.2    29.9    29.6    29.3    29.0    28.1    26.4
 2020 235   106    30.6    30.5    30.3    30.0    29.7    29.4    29.1    28.2    26.5
 2020 236   107    30.8    30.7    30.6    30.3    29.9    29.6    29.4    28.3    26.7
 2020 237   108    31.5    31.4    31.2    30.9    30.5    30.2    29.9    28.8    27.1
 2020 238   109    31.9    31.9    31.7    31.3    30.9    30.6    30.3    29.2    27.3
 2020 239   110    32.5    32.5    32.2    31.9    31.5    31.1    30.8    29.6    27.7
 2020 240   111    32.9    32.8    32.6    32.2    31.8    31.4    31.1    29.9    27.9
 2020 241   112    33.2    33.1    32.8    32.5    32.0    31.6    31.3    30.1    28.1
 2020 242   113    31.2    31.2    31.0    30.7    30.4    30.1    29.8    28.8    27.2
 2020 243   114    30.9    30.9    30.7    30.5    30.1    29.9    29.6    28.7    27.1
 2020 244   115    29.2    29.2    29.1    28.9    28.6    28.4    28.3    27.5    26.2
